Gene		 Terms
ARHGEF33:	 GO:0005089 
PHF20L1:	 GO:0005515 GO:0005515 GO:0046872 
BECN2:		 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0044877 
ZNF705E:	 GO:0000981 GO:0003677 GO:0046872 
EFCAB8:		 GO:0005509 
FADS2P1:	 GO:0016491 GO:0046872 
WASH4P:		 GO:0003779 GO:0043014 
CAPN14:		 GO:0005509 GO:0004198 GO:0004198 
GRXCR1:		 GO:0003674 GO:0009055 GO:0015035 
A8MXE2:		 GO:0008378 GO:0008376 GO:0008532 
NUDT19:		 GO:0046872 GO:0047617 
ZNF99:		 GO:0000981 GO:0003677 GO:0046872 
FOXO6:		 GO:0000981 GO:0000981 GO:0005515 GO:0000981 GO:0003700 GO:0043565 GO:0008134 
EFCAB9:		 GO:0005509 GO:0061891 
EVPLL:		 GO:0019215 GO:0030674 GO:0005198 
LEUTX:		 GO:0000981 GO:0000981 GO:0043565 
COL6A5:		 GO:0005515 GO:0030020 GO:0030020 GO:0030020 
KPNA7:		 GO:0005515 GO:0061608 
MIF4GD:		 GO:0003723 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0008022 GO:0042802 GO:0042802 GO:0008494 
AHRR:		 GO:0000981 GO:0003677 GO:0005515 GO:0046983 
MYO1G:		 GO:0003774 GO:0003779 GO:0005516 GO:0005524 GO:0005546 GO:0005547 GO:0043325 
HACD1:		 GO:0102158 GO:0102343 GO:0102344 GO:0102345 GO:0018812 
ESPN:		 GO:0017124 GO:0051015 GO:0051015 
ZNF487:		 GO:0000981 GO:0003677 GO:0046872 
KLLN:		 GO:0003677 
B2RBV5:		 GO:0005515 
CENPBD1:	 GO:0003677 
OR11H12:	 GO:0004930 GO:0004984 
C1QTNF9B:	 GO:0005515 
MYO9A:		 GO:0003774 GO:0003779 GO:0005096 GO:0005515 GO:0005515 GO:0005524 GO:0046872 
VWC2L:		 GO:0005515 GO:0005515 
SMIM1:		 GO:0042803 
ZBTB42:		 GO:0000981 GO:0003677 GO:0046872 
KDM4E:		 GO:0032454 GO:0046872 GO:0051213 GO:0032452 GO:0032454 
EPM2A:		 GO:0005515 
IQCJ-SCHIP1: GO:0005515 GO:0005515 GO:0005515 
